tiempo_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
0.13900000000000001,3804,10324,29143,8304,10191,24981,5707,-9187
0.13950000000000001,211,5180,6384,-5489,-531,5555,-8156,-5013
0.14000000000000001,-4201,1506,-8334,-12854,-5611,-8191,-10577,-6048
0.14050000000000001,-5746,1198,-28973,-19366,-5291,-19232,-12438,-14904
0.14099999999999999,-12686,567,-61691,-27424,-10144,-38952,-30131,-21917
0.14149999999999999,-18349,-698,-71656,-30541,-11829,-43849,-35327,-13143
0.14199999999999999,-21698,1243,-59418,-31295,-10104,-33233,-25662,-1217
0.14249999999999999,-23266,1153,-29465,-21483,-2667,-11921,-22617,-1805
0.14299999999999999,-8463,3904,27618,-1278,4528,16912,-11441,-4320
0.14349999999999999,1124,10963,50061,13006,9266,19338,-1502,-8987
0.14399999999999999,12814,19064,43223,20298,14686,12237,-3939,-1752
0.14449999999999999,14198,22631,38218,23522,13794,17305,-4763,5309
0.14499999999999999,16532,21381,18349,23084,13914,20534,14,-16948
0.14549999999999999,17467,19882,-1332,14419,14289,16513,1680,-28750
0.14599999999999999,12233,17764,-18775,11064,9419,7533,-498,-23918
0.14649999999999999,6477,15964,-21659,6386,6080,-2767,-4956,-1287
0.14699999999999999,365,5419,-24279,518,3469,-8779,-13720,-12862
0.14749999999999999,-7369,-844,-19914,-3978,1053,-8854,-18444,-17028
0.14799999999999999,1166,613,-17029,-5533,1232,-6759,-16314,-14727
0.14849999999999999,1198,2260,-13209,-5057,34,-6311,-17548,-20331
0.14899999999999999,-3074,4258,-5466,-4026,1546,-3036,-20641,-14163
0.14949999999999999,-5162,2125,-1650,-1296,5083,-1234,-17386,-23763
0.14999999999999999,-2810,3516,-2219,1968,3342,806,-7927,-3619
0.15049999999999999,-1548,3784,-4449,1760,-242,4371,-2169,22469
0.151,-1147,4284,-181,-294,489,2938,3211,36969
0.1515,2465,7539,7364,611,5070,584,5778,37503
0.152,5706,7392,19744,4209,9411,-2479,8736,31090
0.1525,-2031,7854,19964,825,11619,-3656,6766,26576
0.153,-5516,7712,15840,-512,13332,-4269,-12,24224
0.1535,2261,9779,11193,2145,16990,-4226,3114,28752
0.154,-1127,9286,13584,2751,17978,-1944,9898,25419
0.1545,-3404,12681,9332,-2560,13763,3899,4650,28115
0.155,-8901,11081,-11501,-8803,10040,496,2480,35789
0.1555,-6469,9648,-17004,-11439,7425,-7736,-1179,19021
0.156,-9725,2978,-15468,-7316,7534,-11323,-1844,11368
0.1565,-6161,-294,-101,2462,10956,-2172,6832,24484
0.157,4543,3704,18081,16458,20581,12164,21152,40675
0.1575,13195,10493,28658,19082,27801,12462,17349,40614
0.158,14895,15343,36806,15904,27307,8056,3706,27318
0.1585,17318,12182,33519,12234,21984,3516,-17204,-6272
0.159,13208,5332,15466,4198,28286,1157,-17211,10803
0.1595,-737,5918,-25736,-14456,17732,-8895,-25798,34808
0.16,-2936,5311,-47077,-23684,8058,-19790,-33474,24810
0.1605,5035,11931,-31393,-20091,6127,-17503,-29556,15973
0.161,-12582,4184,11515,409,4932,4516,-18488,4570
0.1615,-12141,-5155,33534,23516,5085,18132,-6062,1451
0.16200000000000001,3546,11543,31996,26341,13741,8294,-5685,-12170
0.16250000000000001,21707,28093,34901,32486,24106,3963,2006,-22264
0.16300000000000001,33734,38181,49297,43126,33244,23114,10326,-20793
0.16350000000000001,37219,35648,54744,49826,33804,44858,28348,6435
0.16400000000000001,32790,28019,32641,40163,30044,39170,30189,21214
0.16450000000000001,17516,20936,-5951,18484,19457,-9987,9,-99
0.16500000000000001,-6471,872,-55766,-12890,-13062,-76338,-39536,-14276
0.16550000000000001,-30512,-20315,-81035,-33092,-27167,-93345,-50526,-13945
0.16600000000000001,-46321,-26953,-78627,-43833,-24727,-51024,-38498,-10725
0.16650000000000001,-33222,-17737,-68335,-50534,-7990,-16979,-27492,-26051
0.16700000000000001,11701,9221,-82988,-50510,-3588,-41838,-23075,-35086
0.16750000000000001,41946,28001,-72911,-41826,1962,-47810,-15523,-18576
0.16800000000000001,22365,38189,4418,-14329,20370,19481,27638,1741
0.16850000000000001,-24087,27378,82648,15410,31358,106776,65841,19309
0.16900000000000001,-25816,19083,148125,52536,37838,133866,70706,6731
0.16950000000000001,11187,31779,183716,79591,48440,105449,63726,29166
0.17000000000000001,44494,44195,189921,98081,49264,78249,52130,25666
0.17050000000000001,61313,43545,187778,117036,53658,87320,53809,25118
0.17100000000000001,70633,42509,154518,106909,47835,81570,40376,22591
0.17150000000000001,54249,37059,105885,81623,36307,62350,12696,32745
0.17199999999999999,34723,29153,61536,54706,30140,44774,2424,42003
0.17249999999999999,23825,20796,41586,33179,24171,31397,1006,46311
0.17299999999999999,14643,13609,31082,20573,16502,25770,4808,43069
0.17349999999999999,8403,8026,19068,9878,15490,19574,1638,35471
0.17399999999999999,8196,7874,16649,8014,21283,14814,7604,22628
0.17449999999999999,7870,10539,28888,7289,18147,13358,5428,23861
0.17499999999999999,5573,10369,32909,5319,17169,10930,10536,35283
0.17549999999999999,5606,7439,16477,2296,15409,6360,10741,46432
0.17599999999999999,-1219,1856,6706,-2914,11254,-20,-742,34478
0.17649999999999999,-4996,811,-612,-7232,6573,-4437,-1080,39952
0.17699999999999999,-8467,63,-10658,-7731,5174,-7119,-6569,28044
0.17749999999999999,-7679,3736,-18444,-9144,5504,-8262,-10739,41948
0.17799999999999999,-12589,2400,-24591,-12264,9934,-11737,-7621,44711
0.17849999999999999,-15674,-5006,-28801,-16285,2039,-12737,-10761,40526
0.17899999999999999,-12168,-7767,-23816,-16962,-4119,-13134,-22082,22761
0.17949999999999999,-10098,-161,-19875,-11671,5050,-8001,-16127,-2847
0.17999999999999999,-11007,-957,-14889,-10478,9216,-5271,-8673,-9732
0.18049999999999999,-7376,-66,-6550,-7019,2127,-8045,-15407,-17449
0.18099999999999999,-4371,311,-5458,-4268,9018,-7911,-13466,-21933
0.18149999999999999,-1481,2697,-3757,-1970,7694,-5947,-18079,-17932
0.182,2966,8538,-6011,-31,1753,-2049,-6228,-13000
0.1825,-2819,8986,-9297,279,5648,646,1116,2521
0.183,-9177,7987,-15066,-125,7797,-2354,-1976,9461
0.1835,-3289,6520,-17199,-6519,29,-9010,-12764,-18508
0.184,2261,10596,-11466,-4364,-1223,-8405,-10587,-6704
0.1845,-4082,8959,-3021,-7196,-2575,-7334,-13455,-8914
0.185,-6191,5466,-4596,-20741,-13903,-14649,-26247,-30310
0.1855,-679,5920,-16641,-31606,-23236,-20001,-28775,-24161
0.186,-3441,5769,-20822,-32666,-19146,-18990,-26364,-28731
0.1865,-13499,-1384,-14142,-21622,-12826,-14216,-19567,-25086
0.187,-15992,-7295,1462,2986,-8536,-2,-12606,-20738
0.1875,-6834,2023,7925,17478,9801,4301,-9451,-20699
